2010-02-11 13:15:27 : Program started : Mnemosyne 1.2.1 nt win32
2010-02-11 13:15:28 : Loaded database 8 234 649
2010-02-11 13:15:28 : Uploaded 9a22febe_00005.bz2
2010-02-11 13:15:33 : R 27878eac.inv 4 2.51 | 10 7 4 1 1 | 2 4 | 6 -1 | 2.0
2010-02-11 13:15:35 : R 37d092c7 5 2.96 | 2 4 0 2 4 | 77 80 | 236 -6 | 1.3
2010-02-11 13:15:37 : R 63162494 5 2.97 | 2 4 0 2 4 | 77 79 | 234 11 | 1.4
2010-02-11 13:15:54 : R 548b9474 2 2.48 | 8 13 5 1 5 | 94 94 | 233 -10 | 12.6
2010-02-11 13:15:59 : R da29444d 2 2.58 | 6 8 2 1 6 | 141 143 | 141 3 | 3.2
2010-02-11 13:16:02 : R d5a4c8c4 5 2.60 | 4 5 1 2 4 | 188 191 | 496 -10 | 2.6
2010-02-11 13:16:09 : R 2274c5a6 5 2.56 | 3 7 2 1 4 | 190 191 | 488 -16 | 4.8
2010-02-11 13:16:17 : R 243a08c7 4 2.44 | 3 5 0 3 5 | 191 191 | 466 -23 | 5.5
2010-02-11 13:16:20 : R 77bc52fa.inv 5 2.62 | 3 5 1 1 0 | 0 4 | 1 1 | 1.8
2010-02-11 13:16:22 : R c011924c 5 2.70 | 4 3 1 1 0 | 0 4 | 1 1 | 1.9
2010-02-11 13:16:32 : R 6b754fe9 2 2.00 | 9 13 4 1 0 | 0 4 | 1 0 | 7.1
2010-02-11 13:17:03 : R 1c419c42.inv 3 2.61 | 3 1 1 1 0 | 0 76 | 1 0 | 27.2
2010-02-11 13:17:07 : R 8d849665 4 2.69 | 4 3 1 1 0 | 0 4 | 1 1 | 1.9
2010-02-11 13:17:10 : R 7bb6365a 0 2.28 | 4 5 1 2 0 | 0 4 | 0 0 | 2.1
2010-02-11 13:17:15 : R 2270b04c.inv 3 2.69 | 7 3 2 1 0 | 0 4 | 1 1 | 2.0
2010-02-11 13:17:17 : R 51c45123 5 2.46 | 4 7 2 1 0 | 0 4 | 1 0 | 1.3
2010-02-11 13:17:22 : R 4cc08058 5 2.40 | 25 13 8 1 0 | 0 4 | 1 1 | 3.5
2010-02-11 13:17:26 : R 65fd0bef 4 2.58 | 7 5 2 1 0 | 0 4 | 1 1 | 2.5
2010-02-11 13:17:30 : R 488eab2e.inv 4 2.75 | 4 4 1 1 0 | 0 4 | 1 0 | 3.5
2010-02-11 13:17:33 : R 52d6d9f2.inv 4 2.69 | 3 3 1 1 0 | 0 4 | 1 1 | 1.5
2010-02-11 13:17:40 : R 0dae1a64 1 2.59 | 5 3 2 1 0 | 0 76 | 0 0 | 5.5
2010-02-11 13:17:47 : R 057fe7fd 4 2.57 | 7 5 2 1 0 | 0 4 | 1 0 | 6.0
2010-02-11 13:26:07 : R c33f5334.inv 0 2.59 | 6 2 2 1 0 | 0 76 | 0 0 | 497.7
2010-02-11 13:26:15 : R 4d5318e1 0 2.61 | 4 1 1 1 0 | 0 76 | 0 0 | 6.0
2010-02-11 13:26:20 : R 7bb6365a 1 2.28 | 5 5 1 3 0 | 0 1 | 0 0 | 3.6
2010-02-11 13:26:23 : R 1152bd3b 5 2.78 | 3 4 1 1 0 | 0 4 | 1 0 | 1.6
2010-02-11 13:26:31 : R 1ac3ccc9 4 2.08 | 12 16 7 1 0 | 0 4 | 1 1 | 5.5
2010-02-11 13:26:51 : R b0ea59b1 1 2.45 | 3 2 1 1 0 | 0 4 | 0 0 | 15.3
2010-02-11 13:27:08 : R ec8fc545 5 2.56 | 6 6 2 1 0 | 0 4 | 1 1 | 4.5
2010-02-11 13:27:15 : R 01a9b383.inv 3 2.76 | 7 7 4 1 0 | 0 4 | 1 1 | 5.2
2010-02-11 13:27:19 : R 8efbe8cf.inv 4 2.65 | 5 6 2 1 0 | 0 4 | 1 1 | 2.7
2010-02-11 13:27:23 : R 7d59052f 4 2.52 | 8 11 4 1 0 | 0 4 | 1 0 | 3.0
2010-02-11 13:27:28 : R 7a4ca905.inv 4 2.86 | 6 6 3 1 0 | 0 4 | 1 1 | 4.1
2010-02-11 13:27:42 : R 3798829d 4 1.86 | 8 12 4 1 0 | 0 4 | 1 0 | 12.0
2010-02-11 13:27:51 : R e03f9460.inv 2 2.25 | 3 6 1 1 0 | 0 4 | 1 1 | 5.3
2010-02-11 13:28:00 : R e044961b 2 2.22 | 6 7 2 1 0 | 0 4 | 1 1 | 7.1
2010-02-11 13:28:05 : R 7bb6365a 2 2.28 | 6 5 1 4 0 | 0 1 | 1 0 | 3.8
2010-02-11 13:28:08 : R 9c36f3ac 4 2.64 | 5 7 3 1 0 | 0 4 | 1 0 | 1.5
2010-02-11 13:28:16 : R 22f4986b 4 2.38 | 5 10 3 1 0 | 0 4 | 1 0 | 7.1
2010-02-11 13:28:21 : R 0dae1a64 4 2.59 | 6 3 2 2 0 | 0 1 | 1 1 | 3.3
2010-02-11 13:28:32 : R b0ea59b1 4 2.45 | 4 2 1 2 0 | 0 1 | 1 0 | 8.2
2010-02-11 13:28:42 : R 6ea2835f.inv 4 2.63 | 3 4 1 1 0 | 0 4 | 1 1 | 8.3
2010-02-11 13:28:50 : R 4ab3ff04.inv 0 2.67 | 3 4 1 1 0 | 0 4 | 0 0 | 6.5
2010-02-11 13:28:51 : R 4ab3ff04.inv 0 2.67 | 4 4 1 2 0 | 0 1 | 0 0 | 1.0
2010-02-11 13:29:03 : R cb447391 4 2.52 | 6 10 4 1 0 | 0 4 | 1 0 | 7.1
2010-02-11 13:29:10 : R 2eafefaf 0 2.86 | 6 6 2 1 0 | 0 4 | 0 0 | 5.6
2010-02-11 13:29:15 : R fa76afab.inv 4 2.66 | 4 10 3 1 0 | 0 4 | 1 1 | 3.4
2010-02-11 13:29:18 : R 2eafefaf 2 2.86 | 7 6 2 2 0 | 0 1 | 1 0 | 2.3
2010-02-11 13:29:21 : R 4ab3ff04.inv 2 2.67 | 5 4 1 3 0 | 0 1 | 1 0 | 2.4
2010-02-11 13:29:24 : R 20a8b466.inv 5 2.77 | 3 3 1 1 0 | 0 4 | 1 0 | 1.4
2010-02-11 13:29:32 : R 36bd0063.inv 0 2.42 | 3 3 1 1 0 | 0 4 | 0 0 | 6.4
2010-02-11 13:29:36 : R dd83a0ab.inv 2 2.67 | 3 3 1 1 0 | 0 4 | 1 1 | 2.5
2010-02-11 13:29:39 : R fe2beef5.inv 2 2.67 | 3 3 1 1 0 | 0 4 | 1 1 | 2.1
2010-02-11 13:29:42 : Saved database 0 199 649
2010-02-11 13:29:42 : Program stopped
