2009-11-10 13:53:56 : Program started : Mnemosyne 1.2.1 nt win32
2009-11-10 13:53:56 : Loaded database 8 70 472
2009-11-10 13:53:56 : Uploaded 9a22febe_00004.bz2
2009-11-10 13:54:15 : R a7251fcb 4 2.57 | 6 5 3 1 1 | 1 1 | 6 0 | 5.5
2009-11-10 14:11:42 : R 7e15494b 1 2.57 | 5 4 2 0 0 | 6 6 | 0 0 | 1044.2
2009-11-10 14:11:46 : R d54306ee 4 2.42 | 17 12 6 1 2 | 6 6 | 14 0 | 3.2
2009-11-10 14:11:49 : R b2e99884.inv 5 2.87 | 4 5 2 1 2 | 6 6 | 17 -1 | 1.5
2009-11-10 14:11:57 : R 4ab3ff04 5 2.53 | 6 5 2 1 2 | 6 6 | 15 -1 | 5.6
2009-11-10 14:12:01 : R efa33b87.inv 2 2.07 | 11 10 4 1 2 | 6 6 | 12 -3 | 2.1
2009-11-10 14:12:08 : R d72a1e04 5 2.42 | 7 9 2 1 4 | 9 9 | 21 3 | 3.1
2009-11-10 14:12:12 : R 2edd3cba 4 2.40 | 3 3 0 3 3 | 9 9 | 21 0 | 3.3
2009-11-10 14:12:14 : R 06960879.inv 5 2.58 | 7 2 2 2 0 | 0 9 | 1 0 | 1.3
2009-11-10 14:12:18 : R 86d5601b.inv 4 2.41 | 5 3 2 1 0 | 0 6 | 1 0 | 2.1
2009-11-10 14:12:23 : R 1ac3ccc9 4 2.08 | 9 11 4 2 0 | 0 9 | 1 0 | 3.0
2009-11-10 14:12:27 : R a0349f33.inv 5 2.57 | 6 2 1 4 0 | 0 6 | 1 0 | 3.0
2009-11-10 14:12:42 : R 2edd3cba.inv 1 2.40 | 6 3 2 1 0 | 0 6 | 0 0 | 11.2
2009-11-10 14:12:46 : R 7e15494b.inv 2 2.57 | 5 3 2 2 0 | 0 6 | 1 1 | 3.0
2009-11-10 14:12:50 : R 432bcf45 5 2.76 | 7 7 3 1 0 | 0 1 | 1 1 | 2.0
2009-11-10 14:12:53 : R d4f9ce11 4 2.52 | 6 4 2 1 0 | 0 1 | 1 1 | 1.4
2009-11-10 14:12:57 : R 7e15494b 4 2.57 | 6 4 2 1 0 | 0 1 | 1 2 | 2.5
2009-11-10 14:13:09 : R 96a0bd8c.inv 1 2.50 | 4 3 1 1 0 | 0 1 | 0 0 | 9.9
2009-11-10 14:13:17 : R 01a9b383.inv 3 2.66 | 5 3 2 1 0 | 0 6 | 1 1 | 6.0
2009-11-10 14:13:20 : R d9625fcd 4 2.66 | 4 3 1 1 0 | 0 1 | 1 0 | 1.7
2009-11-10 14:13:35 : R 695a23a8.inv 4 2.58 | 4 1 1 2 0 | 0 6 | 1 1 | 9.3
2009-11-10 14:13:42 : R adda8333.inv 0 2.43 | 8 3 2 2 0 | 0 9 | 0 0 | 5.4
2009-11-10 14:13:49 : R 2edd3cba.inv 2 2.40 | 7 3 2 2 0 | 0 1 | 1 1 | 5.3
2009-11-10 14:13:57 : R 27878eac.inv 0 2.57 | 6 2 2 2 0 | 0 19 | 0 0 | 5.6
2009-11-10 14:14:00 : R adda8333.inv 2 2.43 | 9 3 2 3 0 | 0 1 | 1 0 | 1.9
2009-11-10 14:14:06 : R 96a0bd8c.inv 2 2.50 | 5 3 1 2 0 | 0 1 | 1 1 | 4.0
2009-11-10 14:14:10 : R 6613d908.inv 0 2.57 | 6 2 2 2 0 | 0 19 | 0 0 | 2.1
2009-11-10 14:14:15 : R 27878eac.inv 0 2.57 | 7 2 2 3 0 | 0 1 | 0 0 | 3.4
2009-11-10 14:14:19 : R a0349f33 4 2.57 | 6 1 1 1 0 | 0 19 | 1 1 | 3.5
2009-11-10 14:14:29 : R 6613d908.inv 3 2.57 | 7 2 2 3 0 | 0 1 | 1 1 | 8.8
2009-11-10 14:14:32 : R 27878eac.inv 2 2.57 | 8 2 2 4 0 | 0 1 | 1 1 | 2.1
2009-11-10 14:14:38 : Saved database 0 54 472
2009-11-10 14:14:38 : Program stopped
